Operator,Change Type,Airflow(1.0),Airflow(2.0),Impact,Replace,Manual Intervention,
DataprocWorkflowTemplateInstantiateInlineOperator,Changes in import,from airflow.contrib.operators.dataproc_operator import DataprocWorkflowTemplateInstantiateInlineOperator,from airflow.providers.google.cloud.operators.dataproc import DataprocInstantiateInlineWorkflowTemplateOperator,Import Statement Changed,TRUE,FALSE,
DataprocWorkflowTemplateInstantiateInlineOperator,Changes in Operator,DataprocWorkflowTemplateInstantiateInlineOperator,DataprocInstantiateInlineWorkflowTemplateOperator,Operator Name Change,FALSE,FALSE,
DataprocWorkflowTemplateInstantiateInlineOperator,Argument changes,Region ,Region,Region is a mandatory parameter,TRUE,TRUE,
DataprocWorkflowTemplateInstantiateOperator,Changes in import,from airflow.contrib.operators.dataproc_operator import DataprocWorkflowTemplateInstantiateOperator,from airflow.providers.google.cloud.operators.dataproc import DataprocInstantiateWorkflowTemplateOperator,Import Statement Changed,TRUE,FALSE,
DataprocWorkflowTemplateInstantiateOperator,Changes in Operator,DataprocWorkflowTemplateInstantiateOperator,DataprocInstantiateWorkflowTemplateOperator,None,TRUE,FALSE,
DataprocWorkflowTemplateInstantiateOperator,Argument changes,Region ,Region,Region to be added as a mandatory parameter,TRUE,TRUE,
BigtableClusterUpdateOperator,Changes in import,from airflow.contrib.operators.gcp_bigtable_operator import BigtableClusterUpdateOperator,from airflow.providers.google.cloud.operators.bigtable import BigtableUpdateClusterOperator,Import Statement Changed,TRUE,FALSE,
BigtableClusterUpdateOperator,Changes in Operator,BigtableClusterUpdateOperator,BigtableUpdateClusterOperator,Operator Name Change,TRUE,FALSE,
BigtableClusterUpdateOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BigtableInstanceCreateOperator,Changes in import,from airflow.contrib.operators.gcp_bigtable_operator import BigtableInstanceCreateOperator,from airflow.providers.google.cloud.operators.bigtable import BigtableCreateInstanceOperator,Import Statement Changed,TRUE,FALSE,
BigtableInstanceCreateOperator,Changes in Operator,BigtableInstanceCreateOperator,BigtableCreateInstanceOperator,Operator Name Change,TRUE,FALSE,
BigtableInstanceCreateOperator,Argument changes,replica_clusters param change,replica_clusters param change,replica_cluster_id and replica_cluster_zone has been merged into a single dict entity named replica_clusters in v2,TRUE,TRUE,
BigtableInstanceDeleteOperator,Changes in import,from airflow.contrib.operators.gcp_bigtable_operator import BigtableInstanceDeleteOperator,from airflow.providers.google.cloud.operators.bigtable import BigtableDeleteInstanceOperator,Import Statement Changed,TRUE,FALSE,
BigtableInstanceDeleteOperator,Changes in Operator,BigtableInstanceDeleteOperator,BigtableDeleteInstanceOperator,Operator Name Change,TRUE,FALSE,
BigtableInstanceDeleteOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BigtableTableCreateOperator,Changes in import,from airflow.contrib.operators.gcp_bigtable_operator import BigtableTableCreateOperator,from airflow.providers.google.cloud.operators.bigtable import BigtableCreateTableOperator,Import Statement Changed,TRUE,FALSE,
BigtableTableCreateOperator,Changes in Operator,BigtableTableCreateOperator,BigtableCreateTableOperator,Operator Name Change,TRUE,FALSE,
BigtableTableCreateOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BigtableTableDeleteOperator,Changes in import,from airflow.contrib.operators.gcp_bigtable_operator import BigtableTableDeleteOperator,from airflow.providers.google.cloud.operators.bigtable import BigtableDeleteTableOperator,Import Statement Changed,TRUE,FALSE,
BigtableTableDeleteOperator,Changes in Operator,BigtableTableDeleteOperator,BigtableDeleteTableOperator,Operator Name Change,TRUE,FALSE,
BigtableTableDeleteOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
