product,service_type,service_category,cloud_provider
DSv3 Series Dedicated Host,Virtual Machines,Compute,Azure
Esv5 Series DedicatedHost,Virtual Machines,Compute,Azure
Virtual Machines Easv5 Series,Virtual Machines,Compute,Azure
Virtual Machines Ev4 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines BS Series Windows,Virtual Machines,Compute,Azure
Virtual Machines FSv2 Series,Virtual Machines,Compute,Azure
Virtual Machines Edv5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Av2 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Dsv5 Series,Virtual Machines,Compute,Azure
Virtual Machines Ebdsv5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Dpsv5 Series,Virtual Machines,Compute,Azure
Virtual Machines NDrSv2 Series,Virtual Machines,Compute,Azure
Virtual Machines BS Series,Virtual Machines,Compute,Azure
Virtual Machines Dv5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Epsv5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines BS VDI Series Windows,Virtual Machines,Compute,Azure
Virtual Machines HCS Series Windows,Virtual Machines,Compute,Azure
Virtual Machines BS VDI Series,Virtual Machines,Compute,Azure
Virtual Machines Dasv4 Series,Virtual Machines,Compute,Azure
DCdsv3 Series Linux,Virtual Machines,Compute,Azure
ECasv5-series Linux,Virtual Machines,Compute,Azure
Eadsv5 Series DedicatedHost,Virtual Machines,Compute,Azure
DCadsv5-series Windows,Virtual Machines,Compute,Azure
Dasv5 Series Dedicated Host,Virtual Machines,Compute,Azure
MS Series Dedicated Host,Virtual Machines,Compute,Azure
Virtual Machines Dsv5 Series Windows,Virtual Machines,Compute,Azure
NCads A100 v4 Series Linux,Virtual Machines,Compute,Azure
Virtual Machines DSv2 Series Windows,Virtual Machines,Compute,Azure
DCadsv5-series Linux,Virtual Machines,Compute,Azure
Virtual Machines Dpdsv5 Series Windows,Virtual Machines,Compute,Azure
Edsv4 Series Dedicated Host,Virtual Machines,Compute,Azure
Lasv3 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Ev5 Series,Virtual Machines,Compute,Azure
Virtual Machines Eav4 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Eadsv5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines LS Series,Virtual Machines,Compute,Azure
Virtual Machines NCSv3 Series,Virtual Machines,Compute,Azure
Virtual Machines Dv3 VDI Series,Virtual Machines,Compute,Azure
Virtual Machines Ddsv4 Series,Virtual Machines,Compute,Azure
